part_of_speech,english,greek,category
noun,Europe,Ευρώπη,feminine
noun,France,Γαλλία,feminine
noun,Germany,Γερμανία,feminine
noun,Greece,Ελλάδα,feminine
noun,Hungary,Ουγγαρία,feminine
noun,India,Ινδία,feminine
noun,Ireland,Ιρλανδία,feminine
noun,Israel,Ισραήλ,neuter
noun,Italy,Ιταλία,feminine
noun,Japan,Ιαπωνία,feminine
noun,Norway,Νορβηγία,feminine
noun,Poland,Πολωνία,feminine
noun,Russia,Ρωσία,feminine
noun,Scotland,Σκωτία,feminine
noun,Spain,Ισπανία,feminine
noun,Sweden,Σουηδία,feminine
noun,Switzerland,Ελβετία,feminine
noun,Turkey,Τουρκία,feminine
noun,Chinese (language),κινέζικα,neuter
noun,English (language),αγγλικά,neuter
noun,French (language),γαλλικά,neuter
noun,German (language),γερμανικά,neuter
noun,Greek (language),ελληνικά,neuter
noun,Japanese (language),ιαπωνικά,neuter
noun,Spanish (language),ισπανικά,neuter
noun,Latin (language),λατινικά,neuter
noun,English,αγγλικός,
noun,Italian,ιταλικός,
noun,American,αμερικάνικος,
noun,British,βρετανικός,
noun,Chinese,κινέζικος,
noun,French,γαλλικός,
noun,Russian,ρώσικος,
noun,Spanish,ισπανικός,
noun,air,αέρας,masculine
noun,alcohol,αλκοόλ,neuter
noun,animal,ζώο,neuter
noun,ant,μυρμήγκι,neuter
noun,ape,πίθηκος,masculine
noun,appartment,διαμέρισμα,neuter
noun,autumn,φθινόπωρο,neuter
noun,bat,νυχτερίδα,feminine
noun,berry,μούρο,neuter
noun,bull,ταύρος,masculine
noun,button,κουμπί,neuter
noun,cake,τούρτα,feminine
noun,card,κάρτα,feminine
noun,cave,σπηλιά,feminine
noun,chocolate,σοκολάτα,feminine
noun,cinema,σινεμά,neuter
noun,colour,χρώμα,neuter
noun,weakness,αδυναμία,feminine
noun,week,εβδομάδα,feminine
noun,weekend,σαββατοκύριακο,neuter
noun,wolf,λύκος,masculine
noun,word,λέξη,feminine
noun,wait,αναμονή,feminine
noun,drink,ποτό,neuter
noun,sleep,ύπνος,masculine
